file_name,volume,surface_area,bounding_box_x,bounding_box_y,bounding_box_z,bounding_box_volume,compactness,triangle_count,edge_count,vertex_count
DRW245906_B.stl,64.18777465820312,432.209716796875,8.0,8.0,8.299999952316284,531.1999969482422,0.14851071635756252,23018,34527,13850
SLD255832-B Probes Support.stl,12669.9599609375,14243.4833984375,95.06981658935547,40.069820404052734,31.000702381134033,118095.02044613108,0.889526782635727,92405,138607,46236
SLD255843-B Mounting Pin.stl,2631.993408203125,2636.947265625,34.98670959472656,17.5,35.0,21429.35962677002,0.9981213665186054,28648,42972,14322
SLD256574-C-Push-button.stl,164.25428771972656,217.71316528320312,6.754964828491211,7.400000095367432,5.930179595947266,296.43034783996734,0.7544527107768756,18020,27030,9012
SLD256639_A_HMP Holder - Protective_MD30.stl,17022.615234375,11835.513671875,34.0,123.25373077392578,34.0,142481.3127746582,1.4382658586949402,101178,151767,50579
SLD257712_D_LED light shield_for BMU801.stl,253.8899383544922,678.1842651367188,16.799999237060547,7.5,6.199908734207374,781.1884650339667,0.3743671910514013,1820,2730,916
SLD257712_A_LED light shield_for BMU801.stl,246.88433837890625,615.3541870117188,16.799999237060547,7.5,5.900000095367432,743.399978256225,0.4012068879840166,1556,2334,780
SLD257712_B_LED light shield_for BMU801.stl,233.25047302246094,600.4825439453125,16.799999237060547,7.5,5.900000095367432,743.399978256225,0.3884383907148243,1588,2382,796
SLD257712_C_LED light shield_for BMU801.stl,253.8899383544922,678.1842651367188,16.799999237060547,7.5,6.199908734207374,781.1884650339667,0.3743671910514013,1820,2730,916
SLD258014_E_Locking Key_TempCast.stl,48867.91015625,29006.666015625,48.469871520996094,170.0,48.25,397574.12115097046,1.684713097669562,219990,329985,109993
SLD258014-A-Locking Adaptor.stl,43388.5234375,24507.53515625,48.47114181518555,144.5,48.24794960021973,337932.4984641233,1.770415635879845,193084,289626,96540
SLD258014-B-Locking Adaptor.stl,45163.36328125,25955.994140625,48.47114181518555,152.5,48.247032165527344,356634.7825842069,1.7399974370684035,191974,287961,95985
SLD258014-C-Locking Adaptor.stl,48941.84375,28779.8046875,48.47114181518555,170.0,48.247032165527344,397560.08550370607,1.7005620531975683,192286,288429,96141
SLD258014_D_Locking Adaptor_FMP100.stl,48926.18359375,28836.33984375,48.469871520996094,170.0,48.25,397574.12115097046,1.6966849419467596,202342,303513,101169
SLD258985-B-Support Part.stl,199.93836975097656,425.6994934082031,14.5,12.991860389709473,3.799999952316284,715.8514984902394,0.469670208320534,8456,12684,4228
SLD259996_C_Frame_Aiming Tool.stl,33118.9375,15120.337890625,118.20294189453125,75.42884540557861,39.59014129638672,352982.1933253917,2.1903569708276556,138256,207384,69128
SLD259996_B_Frame - UX_Aiming Tool.stl,33148.03515625,15003.95703125,118.20294189453125,75.42884540557861,39.59014129638672,352982.1933253917,2.209286196115452,126418,189627,63209
NC07010_C_BCR adjusting tool.stl,59034.421875,26445.17578125,101.5978889465332,85.5,64.76008224487305,562546.1935690938,2.2323323680403075,138264,207396,69136
NC20855 LC-Waste Plug.stl,1007.779541015625,1281.046875,12.998744010925293,18.0,13.0,3041.7060985565186,0.786684360020491,26554,39831,13273
NC21988_0.stl,2643.697021484375,2184.82177734375,32.0,22.199999809265137,22.100000381469727,15699.840136108396,1.2100286846730874,8640,12960,4322
NC23805 SimpliAmp adapter_0.stl,12003.8828125,21100.173828125,127.5999984741211,13.5,77.70476531982422,133854.22713926036,0.5688997119303205,563778,845667,281695
